"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 15, 2023","104.934","105.062","105.072","104.847","-","-0.11%"
"Sep 14, 2023","105.052","104.380","105.095","104.205","24.38K","0.63%"
"Sep 13, 2023","104.398","104.225","104.625","104.155","13.57K","0.06%"
"Sep 12, 2023","104.340","104.215","104.540","104.045","6.17K","0.15%"
"Sep 11, 2023","104.186","104.490","104.550","104.030","10.22K","-0.84%"
"Sep 08, 2023","105.066","105.020","105.070","104.630","21.73K","0.04%"
"Sep 07, 2023","105.028","104.830","105.125","104.785","15.07K","0.20%"
"Sep 06, 2023","104.821","104.720","105.015","104.550","12.58K","0.06%"
"Sep 05, 2023","104.763","104.100","104.855","104.070","15.42K","0.55%"
"Sep 04, 2023","104.191","104.200","104.245","103.980","4.23K","0.00%"
"Sep 01, 2023","104.191","103.585","104.255","103.215","19.16K","0.58%"
"Aug 31, 2023","103.587","103.085","103.690","102.955","17.59K","0.48%"
"Aug 30, 2023","103.093","103.480","103.635","102.855","18.83K","-0.37%"
"Aug 29, 2023","103.471","103.905","104.295","103.305","18.40K","-0.50%"
"Aug 28, 2023","103.992","104.155","104.155","103.925","9.95K","-0.02%"
"Aug 25, 2023","104.013","104.015","104.385","103.675","20.83K","0.09%"
"Aug 24, 2023","103.919","103.275","103.965","103.190","16.06K","0.57%"
"Aug 23, 2023","103.333","103.515","103.905","103.215","19.58K","-0.14%"
"Aug 22, 2023","103.473","103.220","103.625","102.925","16.28K","0.26%"
"Aug 21, 2023","103.206","103.270","103.410","103.050","12.44K","-0.07%"
"Aug 18, 2023","103.276","103.310","103.575","103.130","12.52K","-0.19%"
"Aug 17, 2023","103.470","103.365","103.495","102.945","16.79K","0.15%"
"Aug 16, 2023","103.319","103.095","103.410","102.825","14.04K","0.22%"
"Aug 15, 2023","103.095","103.000","103.160","102.680","-","0.04%"